Scientific Colour Map Categorical Palette
batlowW 100 scrambled Swatches
255 254 254	batlowW-1 #FFFEFE
  1  25  89	batlowW-256 #011959
126 135  55	batlowW-128 #7E8737
 32  95  97	batlowW-192 #205F61
231 171 132	batlowW-65 #E7AB84
 73 116  81	batlowW-160 #497451
 17  67  96	batlowW-224 #114360
254 209 205	batlowW-33 #FED1CD
191 157  70	batlowW-96 #BF9D46
 99 126  68	batlowW-144 #637E44
158 146  51	batlowW-112 #9E9233
255 234 234	batlowW-17 #FFEAEA
 13  49  93	batlowW-240 #0D315D
 50 107  92	batlowW-176 #326B5C
245 183 166	batlowW-49 #F5B7A6
 22  81  98	batlowW-208 #165162
215 165 100	batlowW-81 #D7A564
 15  59  95	batlowW-232 #0F3B5F
 26  88  98	batlowW-200 #1A5862
 61 112  86	batlowW-168 #3D7056
255 245 245	batlowW-9 #FFF5F5
255 223 221	batlowW-25 #FFDFDD
250 195 186	batlowW-41 #FAC3BA
 19  74  97	batlowW-216 #134A61
  8  37  91	batlowW-248 #08255B
112 130  61	batlowW-136 #70823D
238 176 148	batlowW-57 #EEB094
 86 121  74	batlowW-152 #56794A
224 168 116	batlowW-73 #E0A874
142 141  51	batlowW-120 #8E8D33
 40 101  95	batlowW-184 #28655F
175 152  57	batlowW-104 #AF9839
203 161  84	batlowW-89 #CBA154
235 173 139	batlowW-61 #EBAD8B
 29  92  98	batlowW-196 #1D5C62
  5  31  90	batlowW-252 #051F5A
 18  71  97	batlowW-220 #124761
255 229 228	batlowW-21 #FFE5E4
183 155  63	batlowW-100 #B79B3F
167 149  53	batlowW-108 #A79535
 56 109  89	batlowW-172 #386D59
 92 123  71	batlowW-148 #5C7B47
 24  85  98	batlowW-204 #185562
219 167 109	batlowW-77 #DBA76D
248 189 175	batlowW-45 #F8BDAF
255 240 240	batlowW-13 #FFF0F0
 36  98  97	batlowW-188 #246261
242 179 156	batlowW-53 #F2B39C
134 138  53	batlowW-124 #868A35
 79 119  77	batlowW-156 #4F774D
228 170 124	batlowW-69 #E4AA7C
 45 104  94	batlowW-180 #2D685E
119 133  58	batlowW-132 #77853A
254 216 214	batlowW-29 #FED8D6
 16  63  96	batlowW-228 #103F60
255 250 249	batlowW-5 #FFFAF9
150 143  50	batlowW-116 #968F32
209 163  92	batlowW-85 #D1A35C
 20  78  98	batlowW-212 #144E62
252 202 196	batlowW-37 #FCCAC4
 67 114  84	batlowW-164 #437254
105 128  64	batlowW-140 #698040
 14  54  94	batlowW-236 #0E365E
 11  43  92	batlowW-244 #0B2B5C
197 159  76	batlowW-93 #C59F4C
 48 105  93	batlowW-178 #30695D
 28  90  98	batlowW-198 #1C5A62
162 148  51	batlowW-110 #A29433
 64 113  85	batlowW-166 #407155
255 219 218	batlowW-27 #FFDBDA
 12  46  93	batlowW-242 #0C2E5D
247 186 170	batlowW-47 #F7BAAA
229 171 128	batlowW-67 #E5AB80
 23  83  98	batlowW-206 #175362
130 137  54	batlowW-126 #828936
 31  93  98	batlowW-194 #1F5D62
187 156  66	batlowW-98 #BB9C42
233 172 136	batlowW-63 #E9AC88
255 247 247	batlowW-7 #FFF7F7
 58 110  88	batlowW-170 #3A6E58
154 145  50	batlowW-114 #9A9132
138 139  52	batlowW-122 #8A8B34
 76 117  79	batlowW-158 #4C754F
255 237 237	batlowW-15 #FFEDED
217 166 105	batlowW-79 #D9A669
 20  76  98	batlowW-214 #144C62
 38 100  96	batlowW-186 #266460
253 205 201	batlowW-35 #FDCDC9
252 198 191	batlowW-39 #FCC6BF
255 226 225	batlowW-23 #FFE2E1
255 252 252	batlowW-3 #FFFCFC
123 134  57	batlowW-130 #7B8639
 43 103  94	batlowW-182 #2B675E
 21  80  98	batlowW-210 #155062
 95 124  69	batlowW-146 #5F7C45
249 192 181	batlowW-43 #F9C0B5
 53 108  90	batlowW-174 #356C5A
243 181 161	batlowW-51 #F3B5A1
237 175 143	batlowW-59 #EDAF8F
254 213 210	batlowW-31 #FED5D2
