Scientific Colour Map Categorical Palette
lapaz 100 scrambled Swatches
 26  12 100	lapaz-1 #1A0C64
254 242 243	lapaz-256 #FEF2F3
 91 139 163	lapaz-128 #5B8BA3
179 172 150	lapaz-192 #B3AC96
 44  82 146	lapaz-64 #2C5292
 60 112 160	lapaz-96 #3C70A0
234 206 185	lapaz-224 #EACEB9
133 158 156	lapaz-160 #859E9C
 36  50 126	lapaz-33 #24327E
111 150 161	lapaz-144 #6F96A1
 51  97 154	lapaz-80 #33619A
 32  32 113	lapaz-17 #202071
208 186 160	lapaz-208 #D0BAA0
155 164 150	lapaz-176 #9BA496
249 225 214	lapaz-240 #F9E1D6
 74 127 163	lapaz-112 #4A7FA3
 40  66 137	lapaz-49 #284289
144 161 153	lapaz-168 #90A199
252 234 229	lapaz-248 #FCEAE5
 29  23 107	lapaz-9 #1D176B
 55 105 157	lapaz-88 #37699D
243 216 200	lapaz-232 #F3D8C8
167 168 149	lapaz-184 #A7A895
 82 133 164	lapaz-120 #5285A4
122 154 158	lapaz-152 #7A9A9E
 47  90 151	lapaz-72 #2F5A97
 66 120 162	lapaz-104 #4278A2
 38  58 132	lapaz-41 #263A84
101 145 162	lapaz-136 #6591A2
193 178 153	lapaz-200 #C1B299
222 195 171	lapaz-216 #DEC3AB
 34  41 120	lapaz-25 #222978
 42  75 142	lapaz-57 #2A4B8E
 86 136 164	lapaz-124 #5688A4
215 190 166	lapaz-212 #D7BEA6
253 238 236	lapaz-252 #FDEEEC
 96 142 163	lapaz-132 #608EA3
239 211 192	lapaz-228 #EFD3C0
161 166 150	lapaz-180 #A1A696
106 148 161	lapaz-140 #6A94A1
251 230 221	lapaz-244 #FBE6DD
173 170 149	lapaz-188 #ADAA95
246 221 207	lapaz-236 #F6DDCF
 78 130 163	lapaz-116 #4E82A3
 46  86 149	lapaz-68 #2E5695
 58 109 159	lapaz-92 #3A6D9F
200 182 156	lapaz-204 #C8B69C
 28  18 104	lapaz-5 #1C1268
 35  45 123	lapaz-29 #232D7B
 63 116 161	lapaz-100 #3F74A1
 70 123 163	lapaz-108 #467BA3
 30  28 110	lapaz-13 #1E1C6E
127 156 157	lapaz-156 #7F9C9D
186 175 151	lapaz-196 #BAAF97
 37  54 129	lapaz-37 #253681
 49  94 153	lapaz-76 #315E99
 41  71 140	lapaz-53 #29478C
228 201 178	lapaz-220 #E4C9B2
116 152 159	lapaz-148 #74989F
 39  62 135	lapaz-45 #273E87
 33  37 117	lapaz-21 #212575
149 163 152	lapaz-172 #95A398
138 160 154	lapaz-164 #8AA09A
 53 101 156	lapaz-84 #35659C
 43  79 145	lapaz-61 #2B4F91
 35  48 124	lapaz-31 #23307C
231 203 181	lapaz-222 #E7CBB5
241 213 196	lapaz-230 #F1D5C4
 43  77 144	lapaz-59 #2B4D90
 32  35 115	lapaz-19 #202373
 88 138 163	lapaz-126 #588AA3
211 188 163	lapaz-210 #D3BCA3
 84 135 164	lapaz-122 #5487A4
 68 122 162	lapaz-106 #447AA2
103 146 162	lapaz-138 #6792A2
 36  52 127	lapaz-35 #24347F
 37  56 130	lapaz-39 #253882
236 208 189	lapaz-226 #ECD0BD
135 159 155	lapaz-162 #879F9B
 48  92 152	lapaz-74 #305C98
225 198 175	lapaz-218 #E1C6AF
 30  25 109	lapaz-11 #1E196D
 93 141 163	lapaz-130 #5D8DA3
170 169 149	lapaz-186 #AAA995
 56 107 158	lapaz-90 #386B9E
 72 125 163	lapaz-110 #487DA3
119 153 159	lapaz-150 #77999F
247 223 211	lapaz-238 #F7DFD3
190 176 152	lapaz-198 #BEB098
 31  30 112	lapaz-15 #1F1E70
 50  95 153	lapaz-78 #325F99
 65 118 162	lapaz-102 #4176A2
244 218 203	lapaz-234 #F4DACB
 76 128 163	lapaz-114 #4C80A3
 45  84 148	lapaz-66 #2D5494
141 160 153	lapaz-166 #8DA099
108 149 161	lapaz-142 #6C95A1
250 227 218	lapaz-242 #FAE3DA
253 236 232	lapaz-250 #FDECE8
183 173 150	lapaz-194 #B7AD96
